Name,Age,Height,Weight,Overall,Potential,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,BMI,CB,CDM,CF,CM,LB,LM,LW,LWB,RB,RM,RW,RWB,ST,Clasificación Habilidad
L. Messi,35,169,67,91,91,4,4,81,89,90,94,34,64,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,23.458562375266972,0,0,0,0,0,0,0,0,0,0,0,0,0,Alta
K. Benzema,34,185,81,91,91,4,4,80,88,83,87,39,78,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,23.66691015339664,0,0,1,0,0,0,0,0,0,0,0,0,0,Alta
R. Lewandowski,33,185,81,91,91,4,4,75,91,79,86,44,83,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,23.66691015339664,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
K. De Bruyne,31,181,70,91,91,5,4,74,88,93,87,64,77,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,89,68,65,53,15,13,5,10,13,21.36686914318855,0,0,0,1,0,0,0,0,0,0,0,0,0,Alta
K. Mbappé,23,182,73,91,95,4,5,97,89,80,92,36,76,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,22.03840115928028,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
M. Salah,30,175,71,90,90,3,4,90,89,82,90,45,75,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,23.18367346938776,0,0,0,0,0,0,0,0,0,0,1,0,0,Alta
Cristiano Ronaldo,37,187,83,90,90,4,5,81,92,78,85,34,75,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95,24,32,24,7,11,15,14,11,23.735308416025617,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
V. van Dijk,30,193,92,90,90,3,2,81,60,71,72,91,86,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,90,92,92,86,13,10,13,11,11,24.69864962817794,1,0,0,0,0,0,0,0,0,0,0,0,0,Alta
H. Kane,28,188,89,89,89,5,3,68,91,83,82,47,82,80,93,85,84,87,83,82,65,85,84,67,69,68,92,71,92,79,83,83,86,80,44,94,87,92,92,50,36,38,8,10,11,14,11,25.18107741059303,0,0,0,0,0,0,0,0,0,0,0,0,1,Alta
Neymar Jr,30,175,68,89,89,5,5,87,83,85,93,37,61,84,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,89,91,93,35,32,29,9,9,15,15,11,22.20408163265306,0,0,0,0,0,0,1,0,0,0,0,0,0,Alta
